"Title","Start","Description","lat","long"
"Battle of Salamanca",1812-07-22,"The Battle of Salamanca saw an Anglo-Portuguese army under the Duke of Wellington defeat Marshal Auguste Marmont's French forces among the hills around Arapiles, south of Salamanca, Spain on 22 July 1812 during the Peninsular War. A Spanish division was also present but took no part in the battle.The battle involved a succession of flanking manoeuvres in oblique order, initiated by the British heavy cavalry brigade and Pakenham's 3rd division, and continued by the cavalry and the 4th, 5th and 6th divisions. These attacks resulted in a rout of the French left wing. Both Marmont and his deputy commander, General Bonet, received shrapnel wounds in the first few minutes of firing. Confusion amongst the French command may have been decisive in creating an opportunity, which Wellington successfully seized and exploited. General Bertrand Clausel, third in seniority, assumed command and ordered a counterattack by the French reserve toward the depleted Allied centre. The move proved partly successful but with Wellington having sent his reinforcements to the centre, the Anglo-Portuguese forces prevailed.Allied losses numbered 3,129 British and 2,038 Portuguese dead or wounded. The Spanish troops took no part in the battle as they were positioned to block French escape routes and as such suffered just six casualties. The French suffered about 13,000 dead, wounded and captured. As a consequence of Wellington's victory, his army was able to advance to and liberate Madrid for two months, before retreating to Portugal. The French were forced to abandon Andalusia permanently while the loss of Madrid irreparably damaged King Joseph's pro-French government.",40.8935,-5.64526
"Battle of Vitoria",1813-06-21,"At the Battle of Vitoria (21 June 1813) a British, Portuguese and Spanish army under General the Marquess of Wellington broke the French army under Joseph Bonaparte and Marshal Jean-Baptiste Jourdan near Vitoria in Spain, eventually leading to victory in the Peninsular War.",42.85,-2.68333
"Battle of Wagram",1809-07-06,"The Battle of Wagram (5–6 July 1809) was one of the most important military engagements of the Napoleonic Wars and ended in a decisive victory for Emperor Napoleon I's French and allied army against the Austrian army under the command of Archduke Charles of Austria-Teschen. The battle virtually spelled the destruction of the Fifth Coalition, the Austrian and British-led alliance against France.In 1809, the French military presence in Germany was diminished as Napoleon transferred a large number of soldiers to fight in the Peninsular War. As a result, the Austrian Empire saw its chance to recover some of its former sphere of influence and invaded the Kingdom of Bavaria, a French ally. Recovering from his initial surprise, Napoleon beat the Austrian forces in a swift campaign and occupied Vienna at the beginning of May 1809. Despite the string of sharp defeats and the loss of the empire's capital, Archduke Charles salvaged a massive army, with which he retreated north of the Danube. This allowed the Austrians to continue the war but, towards the end of May, Napoleon abruptly resumed the offensive and suffered a tactical defeat at the Battle of Aspern-Essling.It took Napoleon six weeks to prepare his next offensive, for which he amassed a 165,000-man French, German and Italian army in the vicinity of Vienna. The Battle of Wagram began after Napoleon swiftly took the bulk of these forces across the Danube during the night of 4 July and attacked the 145,000-men strong Austrian army. Having successfully crossed the river, Napoleon attempted an early breakthrough and launched a series of violent, though ill-prepared, evening attacks against the Austrian army. The Austrians were thinly spread in a wide semicircle, but held a naturally strong position. After the attackers enjoyed some initial success, the tenacious defenders regained the upper hand and the attacks eventually failed. Bolstered by his success, the next day at dawn Archduke Charles launched a series of attacks along the entire battle line, seeking to take the opposing army in a double envelopment. The offensive failed against the mighty French right but nearly shattered Napoleon's overstretched left. However, the emperor masterfully countered by launching a violent cavalry charge, which temporarily halted the Austrian advance. He then redeployed IV Corps to stabilise his left, while setting up a grand battery, which pounded the Austrian right and centre. The tide of battle turned and the emperor launched an offensive along the entire line, while Maréchal Louis-Nicolas Davout drove a relentless offensive, turning the Austrian left, eventually rendering Charles's position untenable. Towards mid-afternoon on 6 July, Archduke Charles admitted defeat and led a timely and brilliantly staged retreat, frustrating all enemy attempts to pursue. After the battle, Archduke Charles remained in command of a significant and still cohesive force and decided to retreat to Bohemia. However, the Grande Armée eventually caught up with him and scored a victory at the Battle of Znaim. With the battle still raging, Charles decided to ask for an armistice, effectively ending the war.The two-day battle of Wagram was particularly bloody, mainly due to the extensive use of artillery on a flat battlefield packed with some 300,000 men. Despite the fact that Napoleon was the uncontested winner, he failed to secure a complete victory and the Austrian casualties were only slightly greater than those of the French and allies. Nonetheless, the defeat was serious enough to shatter the morale of the Austrians, who could no longer find the will to continue the struggle. The resulting Peace Treaty of Schönbrunn meant the loss of one sixth of the Austrian Empire's subjects, along with significant territories.",48.2994,16.5644
"Battle of Oravais",1808-09-14,"The Battle of Oravais (Finnish: Oravaisten taistelu, Swedish: Slaget vid Oravais) is sometimes regarded as the turning point of the Finnish War: the last chance for Sweden to turn the war to her advantage. It was the bloodiest battle of the conflict, which some historians attribute to the exhaustion, resignation and desperation of the Swedish army: it was losing the war.",63.2827,22.375
"Siege of Figueres",1811-08-19,"The Siege of Figueras, which lasted from 10 April to 19 August 1811, saw the Spanish garrison of Sant Ferran Castle (San Fernando Fortress) led by Brigadier General Juan Antonio Martínez defend against an Imperial French force commanded by Marshal Jacques MacDonald and his deputy Louis Baraguey d'Hilliers. Martínez and his men held out much longer than expected but were eventually starved into surrendering the fortress, which was near Figueres. The action occurred during the Peninsular War, part of the Napoleonic Wars. On the night of 9 and 10 April 1811, a Spanish guerrilla force led by the priest Francesc Rovira i Sala seized the Sant Ferran Castle from its Italian garrison in a well-executed coup de main. Within a few days, the fortress was manned by 3,000 Catalan miquelets and 1,500 Spanish regulars and placed under the command of Martínez. A furious Emperor Napoleon demanded that the strategic fort be retaken and 15,000 Imperial troops were amassed for the purpose. MacDonald pleaded with Louis Gabriel Suchet for reinforcements, but that general refused to send a single soldier and went ahead with his intended Siege of Tarragona. When Suchet invested Tarragona, Luis González Torres de Navarra, Marquess of Campoverde leading the Army of Catalonia immediately withdrew the divisions of Pedro Sarsfield and Joaquín Ibáñez Cuevas y de Valonga, Baron de Eroles from the vicinity of Figueres and moved to defend Tarragona. MacDonald made no attempt to breach Sant Ferran's walls by cannon fire; rather he waited for hunger to compel a surrender. With his food nearly gone, Martínez launched a breakout attempt but it failed to pierce the siege lines. By the time the garrison capitulated, 4,000 of the besiegers had died, mostly from malaria, dysentery, and other diseases. Of the defenders, 1,500 died from enemy action and hunger, 2,000 marched into captivity, and 1,000 were too badly wounded or sick in the fortress hospital to leave. Though the Spanish lost Sant Ferran in the end and failed to stop Suchet from capturing Tarragona, they tied up the entire VII Corps for the summer of 1811.",42.2667,2.96667
"Battle and Siege of Bayonne",1814-04-14,"The Battle of Bayonne of 14 April 1814 was a sortie by General Thouvenot's French garrison of Bayonne during the siege of that city conducted by Allied forces under Lieutenant General John Hope. The battle was the last of the Peninsular War and occurred as news of Napoleon's abdication was beginning to reach the opposing forces.While the Siege of Bayonne was largely illusory, with French and British soldiers fraternizing and exchanging goods and letters, the fighting of 14 April involved heavy hand-to-hand combat in which Lieut-Gen Hope was captured with two of his staff, 276 men and a gun, before reinforcements stabilized the Allied positions.With Thouvenot occupying stronger positions at the conclusion of his sortie, the siege continued. On 17 April, the main French body under Marshal Soult signed an armistice with Wellington; Thouvenot would continue to resist until direct orders from Soult compelled him to observe the ceasefire.",43.3333,-1.4667
"Battle of Virta bridge",1808-10-27,"The Battle of Koljonvirta (Finnish: Koljonvirran taistelu) (Swedish: Virta Bro) i.e. the Battle of the Virta Bridge was fought between Swedish and Russian troops on October 27, 1808. The Swedish force consisted of troops from Savolax and Östergötland. After the main Swedish army had been defeated at the Battle of Oravais the army under Johan August Sandels in Savonia had to retreat in order not to be outflanked by the Russians. Sandels found a good defensive position north of Iisalmi and decided to resist the Russian advance there.Between September 29 and October 27 a cease-fire was in effect. Sandels was heavily outnumbered but had a good defensive position between two lakes connected by the Koljonvirta river and he had prepared his position well during the cease-fire. On October 27 the cease-fire was to end at 1 PM, but Russians started their attack a little earlier, perhaps because of the time difference between Sweden and Russia. Sandels pulled back the forces on the south side of the river and the Russians attacked over the partially demolished bridge. The Swedish counter-attacked and literally pushed the Russian troops into the river. The Russians pulled up fresh troops on the south side of the river, but they didn't try to attack again. The battle was the last Swedish victory on Finnish soil.",63.5886,27.1642
"Battle of Vyazma",1812-11-03,"The Battle of Vyazma (November 3, 1812), occurred at the beginning of Napoleon's retreat from Moscow. In this encounter, the rear guard of the Grande Armée was defeated by the Russians commanded by General Mikhail Andreyevich Miloradovich. Although the French repelled Miloradovich's attempt to encircle and destroy the corps of Louis Nicolas Davout, they withdrew in a partial state of disorder after suffering heavy casualties from continued Russian attacks.The French reversal at Vyazma was indecisive, but it was noteworthy because of its disruptive impact on the Grande Armée's retreat.",55.2,34.25
"Battle of Medina de Rioseco",1808-07-14,"The Battle of Medina de Rioseco, also known as the Battle of Moclín, was fought during the Peninsular War on 14 July 1808 when a combined body of Spanish militia and regulars moved to rupture the French line of communications to Madrid. General Joaquín Blake's Army of Galicia, under joint command with General Gregorio de la Cuesta, was routed by Marshal Bessières after a badly coordinated but stubborn fight against the French corps north of Valladolid. Bessières exploited the poor coordination between Blake and Cuesta to defeat the Spaniards in detail, with Blake being ejected from a low ridge while Cuesta sat to the rear, and Cuesta failing to recapture the ridge with his own troops. The Army of Galicia was the only formation capable of threatening the French advance into Old Castile—Cuesta's command having been destroyed earlier at Cabezón—and its destruction marked a serious blow to Spain's national uprising.But in the event, Medina de Rioseco proved to be the solitary French triumph in an invasion of Spain that ultimately failed to seize the country's major cities or to pacify its rebellious provinces, and which met outright disaster at Bailén, forcing French forces—Bessières' victorious corps included—to fly over the Ebro in retreat. A fresh campaign, conducted by Napoleon himself with the bulk of the Grande Armée, would be needed to redress the situation.",41.8942,-4.9936
"Action of 22 January 1809",1809-01-22,"The Action of 22 January 1809 was a minor naval engagement fought off the Caribbean island of Guadeloupe during the Napoleonic Wars. The action was fought as part of the blockade of Guadeloupe and neighbouring Martinique by a large British Royal Navy squadron, which was seeking to cut the islands off from contact and supplies from France by preventing the passage of shipping from Europe to the islands. The British blockade was part of their preparation for planned invasions during the next year.The French made numerous efforts to supply their colonies during this period, attempting to use fast frigates to bring food and military stores to the Caribbean past the British blockades, but often losing the vessels in the process. One such attempt was made by the French frigate Topaze, despatched from Brest to Cayenne with a large cargo of flour. Driven away from Cayenne by a British expeditionary force that had recently captured the colony, Topaze took refuge under the gun batteries of Guadeloupe.Discovered at anchor off Pointe-Noire on 22 January by the British brig HMS Hazard, Topaze was isolated and attacked by two British frigates, led by Captain Samuel Pechell in HMS Cleopatra. In the ensuing engagement, the British ships outnumbered and overwhelmed their opponent, capturing the ship and her cargo, despite heavy fire from a French gun battery that overlooked the anchorage. The British ships were drawn from a force gathered for the impending invasion of Martinique, which was launched six days after Topaze had been captured and successfully completed in a campaign lasting just over three weeks.",16.2139,-61.8
"Battle of Corunna",1809-01-16,"The Battle of Corunna (or A Coruña, La Corunna, La Coruña, Elviña or La Corogne) took place on 16 January 1809,  when a French corps under Marshal of the Empire Nicolas Jean de Dieu Soult attacked a British army under Lieutenant-General Sir John Moore. The battle took place amidst the Peninsular War, which was a part of the wider Napoleonic Wars. It was a result of a French campaign, led by Napoleon, which had defeated the Spanish armies and caused the British army to withdraw to the coast following an unsuccessful attempt by Moore to attack Soult's corps and divert the French army.Doggedly pursued by the French under Soult, the British made an epic retreat across northern Spain, during which both armies suffered extremely from the harsh, winter conditions. The British army suffered a loss of order and discipline during the retreat on several occasions.  When the British eventually reached the port of Corunna on the northern coast of Galicia in Spain a few days ahead of the French they found their transport ships had not arrived. The fleet arrived after a couple of days and the British were in the midst of embarking when the French forces marched up and forced the British to fight a battle before they could depart for England.In the resulting action, the British were able to fend off the French and complete their embarkation, saving their army from destruction but leaving the port cities of  Corunna and Ferrol, as well as northern Spain, to be captured and occupied by the French. During the battle, Sir John Moore, the British commander, was mortally wounded, dying after hearing all the French attacks had been repulsed.",43.3628,-8.40472
"Battle of Kulm",1813-08-30,"The Battle of Kulm was a battle near the town Kulm (Chlumec) and the village Přestanov in northern Bohemia. It was fought on  29–30 August 1813, during the War of the Sixth Coalition. 32,000 French troops under Dominique Vandamme attacked an army of about 50-60,000 Austrians, Russians and Prussians under Alexander Ostermann-Tolstoy, but were defeated with heavy losses on both sides.",50.6972,13.9389
"Battle of Radzymin (1809)",1809-04-25,"The Battle of Radzymin took place on April 25, 1809 during the brief Polish-Austrian War. The battle occurred at Radzymin, some 20 kilometres (12 mi) north-east of Warsaw.Following the Austrian defeat in the Battle of Raszyn on April 19, the Polish forces commanded by Prince Józef Poniatowski left Warsaw undefended and withdrew to several fortresses located nearby (most notably to Modlin Fortress and Serock). The Austrians seized the Polish capital relatively easy, but it was a pyrrhic victory, as the Austrian force was now seriously overstretched and had a still unbeaten enemy in the vicinity of Warsaw, as well as new Polish forces gathering strength behind their lines in Greater Poland. Prince Este garrisoned Warsaw with 10,000 soldiers, and split his remaining forces, sending some 6,000 troops under Gen. Johann Friedrich von Mohr to the right bank of the Vistula, and the rest towards Toruń and other targets on the left bank.The borough of Praga, located right across the Vistula from Warsaw, was initially left in Polish hands, garrisoned by a small force of 600 men. Mohr's force crossed the river near Karczew and on April 24 besieged the small Polish garrison of Praga. However, the following day the besiegers were assaulted from the back by a Polish division-sized sortie from the Modlin Fortress under Gen. Michał Sokolnicki. In what became known as the Battle of Grochów, the spearhead of the Austrian force was defeated and the Poles withdrew successfully.Simultaneously, further to the north-east, at Radzymin, a Polish force mounted yet another attack on overstretched Austrians. The town was held by relatively small Austrian forces consisting of the 2nd and 3rd Battalions from the 63rd Graf Baillet Infantry Regiment (under Ludwig Graf Baillet de Latour, younger brother of Field Marshal Maximilian Anton Karl, Count Baillet de Latour) and a detachment of hussars. The Polish force was similar in size and consisted of a squadron of uhlans under Capt. Piotr Strzyżewski and a single infantry battalion from the 6th Infantry Regiment under Julian Sierawski. The force was supported by a single 2-gun battery of mounted artillery.Overnight of April 24 the Polish force left Serock and crossed the Narew, reaching Radzymin before daylight. In the early hours of April 25 the force attacked the town from two sides and commenced a synchronised attack. The Austrians withdrew to the town's centre, but soon their cavalry was forced to retreat and the infantry battalions were now isolated. After a brief close quarters fight, the two Austrian battalions with their remaining 37 officers surrendered.The losses for the Polish side were 19 killed and 27 wounded. The losses for the Austrians included approximately 2,000 prisoners of war and many killed and wounded. Although the battle was not a decisive defeat for the Austrians, it was one of a series of skirmishes they lost on the eastern bank of Vistula. Finally on May 2 and May 3 the entire corps under Gen. Mohr was defeated at Ostrówek and its pontoon bridge across the river was destroyed, thwarting any further attempts to advance further east. This gave Poles enough time to leave the Austrians locked in Warsaw to their fate and liberate much of Galicia without much opposition from the enemy.",52.4167,21.1833
"Battle of Radzymin (1809)",1809-04-25,"The Battle of Radzymin took place on April 25, 1809 during the brief Polish-Austrian War. The battle occurred at Radzymin, some 20 kilometres (12 mi) north-east of Warsaw.Following the Austrian defeat in the Battle of Raszyn on April 19, the Polish forces commanded by Prince Józef Poniatowski left Warsaw undefended and withdrew to several fortresses located nearby (most notably to Modlin Fortress and Serock). The Austrians seized the Polish capital relatively easy, but it was a pyrrhic victory, as the Austrian force was now seriously overstretched and had a still unbeaten enemy in the vicinity of Warsaw, as well as new Polish forces gathering strength behind their lines in Greater Poland. Prince Este garrisoned Warsaw with 10,000 soldiers, and split his remaining forces, sending some 6,000 troops under Gen. Johann Friedrich von Mohr to the right bank of the Vistula, and the rest towards Toruń and other targets on the left bank.The borough of Praga, located right across the Vistula from Warsaw, was initially left in Polish hands, garrisoned by a small force of 600 men. Mohr's force crossed the river near Karczew and on April 24 besieged the small Polish garrison of Praga. However, the following day the besiegers were assaulted from the back by a Polish division-sized sortie from the Modlin Fortress under Gen. Michał Sokolnicki. In what became known as the Battle of Grochów, the spearhead of the Austrian force was defeated and the Poles withdrew successfully.Simultaneously, further to the north-east, at Radzymin, a Polish force mounted yet another attack on overstretched Austrians. The town was held by relatively small Austrian forces consisting of the 2nd and 3rd Battalions from the 63rd Graf Baillet Infantry Regiment (under Ludwig Graf Baillet de Latour, younger brother of Field Marshal Maximilian Anton Karl, Count Baillet de Latour) and a detachment of hussars. The Polish force was similar in size and consisted of a squadron of uhlans under Capt. Piotr Strzyżewski and a single infantry battalion from the 6th Infantry Regiment under Julian Sierawski. The force was supported by a single 2-gun battery of mounted artillery.Overnight of April 24 the Polish force left Serock and crossed the Narew, reaching Radzymin before daylight. In the early hours of April 25 the force attacked the town from two sides and commenced a synchronised attack. The Austrians withdrew to the town's centre, but soon their cavalry was forced to retreat and the infantry battalions were now isolated. After a brief close quarters fight, the two Austrian battalions with their remaining 37 officers surrendered.The losses for the Polish side were 19 killed and 27 wounded. The losses for the Austrians included approximately 2,000 prisoners of war and many killed and wounded. Although the battle was not a decisive defeat for the Austrians, it was one of a series of skirmishes they lost on the eastern bank of Vistula. Finally on May 2 and May 3 the entire corps under Gen. Mohr was defeated at Ostrówek and its pontoon bridge across the river was destroyed, thwarting any further attempts to advance further east. This gave Poles enough time to leave the Austrians locked in Warsaw to their fate and liberate much of Galicia without much opposition from the enemy.",52.4167,21.1833
"Battle of the Bidassoa (1813)",1813-10-07,"In the Battle of the Bidasoa (or the Battle of Larrun) on 7 October 1813 the Allied army of Arthur Wellesley, Marquess of Wellington wrested a foothold on French soil from Nicolas Soult's French army. The Allied troops overran the French lines behind the Bidassoa River on the coast and along the Pyrenees crest between the Bidasoa and La Rhune (Larrun). The nearest towns to the fighting are Irun on the lower Bidassoa and Bera on the middle Bidasoa. The battle occurred during the Peninsular War, part of the wider Napoleonic Wars.Wellington aimed his main assault at the lower Bidasoa, while sending additional troops to attack Soult's center. Believing his coastal sector secure, Soult held the right flank with a relatively weak force while concentrating most of his strength on his left flank in the mountains. However, the British general obtained local intelligence that indicated that water levels on the lower river were much lower than the French suspected. After careful planning, Wellington launched a surprise assault which easily overran the French left flank defenses. In the center, his army also won through the French defenses, though his Spanish allies were repulsed in one attack. At the beginning of the fighting, Soult realized that his left flank was in no danger, but he reacted too late to restore his positions on the right. Some French generals were shocked at how poorly their soldiers fought.",43.3378,-1.71861
"Siege of Astorga (1812)",1812-08-19,"The Siege of Astorga of 1812 took place between 29 June and 19 August 1812, at Astorga, León, Castile-León, Spain, during the Peninsular War. On 29 June, the Spanish troops of Lieutenant-General Francisco Gómez de Terán y Negrete, Marquess of Portago, started the operations, and laid siege to Astorga. The siege was part of the Allied offensive in the summer of 1812. The Spanish VI Army led by General José María Santocildes, by order of General Francisco Castaños, take the measures necessary for the recovery of Astorga. On 18 August, after a hard resistance, the French garrison surrendered to the Spaniards. During the siege, part of the Spanish troops marched towards Salamanca to join the Allied army under Arthur Wellesley, commanded by General Santocildes, and contributed successfully in the campaign with the capture of Tordesillas, blocking Toro and Zamora, and occupying Valladolid.",42.4583,-6.05833
"Battle of Albuera",1811-05-16,"The Battle of Albuera (16 May 1811) was a battle during the Peninsular War. A mixed British,  Spanish and Portuguese corps engaged elements of the French Armée du Midi (Army of the South) at the small Spanish village of Albuera, about 20 kilometres (12 mi) south of the frontier fortress-town of Badajoz, Spain.From October 1810 Marshal Masséna's Army of Portugal had been tied down in an increasingly hopeless stand-off against Wellington's Allied forces, safely entrenched in and behind the Lines of Torres Vedras. Acting on Napoleon's orders, in early 1811 Marshal Soult led a French expedition from Andalusia into Extremadura in a bid to draw Allied forces away from the Lines and ease Masséna's plight. Napoleon's information was outdated and Soult's intervention came too late; starving and understrength, Masséna's army was already withdrawing to Spain. Soult was able to capture the strategically important fortress at Badajoz on the border between Spain and Portugal from the Spanish, but was forced to return to Andalusia following Marshal Victor's defeat in March at the Battle of Barrosa. However, Soult left Badajoz strongly garrisoned. In April, following news of Masséna's complete withdrawal from Portugal, Wellington sent a powerful Anglo-Portuguese corps commanded by Sir William Beresford to retake the border town. The Allies drove most of the French from the surrounding area and began the Siege of Badajoz. Soult rapidly gathered a new army from the French forces in Andalusia and, joining with the troops retreating before Beresford, he marched to relieve the siege. With intelligence of another approaching force—a Spanish army under General Joaquín Blake—he planned to turn Beresford's flank and interpose his army between the two. However, Soult was again acting on outdated information; unknown to the Marshal, the Spaniards had already linked up with the Anglo-Portuguese corps, and his 24,000 troops now faced a combined Allied army 35,000 strong.The opposing armies met at the village of Albuera. Both sides suffered heavily in the ensuing struggle and the French eventually withdrew on 18 May. Beresford's army was too battered and exhausted to pursue, but was able to resume the investment of Badajoz. Despite Soult's failure to relieve the town, the battle had little strategic effect on the on-going war. Just one month later, in June 1811, the Allies were forced to abandon their siege by the approach of the reconstituted French Armies of Portugal and Andalusia.",38.7167,-6.81667
"Battle of Austerlitz",1805-12-02,"The Battle of Austerlitz (December 2, 1805/11 Frimaire An XIV FRC), also known as the Battle of the Three Emperors, was one of the most important and decisive engagements of the Napoleonic Wars. Widely regarded as the greatest victory achieved by Napoleon, the Grande Armée of France annihilated a larger Russian and Austrian army led by Tsar Alexander I and Holy Roman Emperor Francis II. The battle occurred near the village of Austerlitz in the Austrian Empire (modern-day Slavkov u Brna in the Czech Republic). Because of the near-perfect execution of a calibrated but dangerous plan, the battle is often seen as a tactical masterpiece of the same stature as Cannae, the celebrated triumph by Hannibal some 2,000 years before. Austerlitz brought the War of the Third Coalition to a rapid end, with the Treaty of Pressburg signed by the exhausted Austrians later in the month.After eliminating an entire Austrian army during the Ulm Campaign, French forces managed to capture Vienna in November 1805. The Austrians avoided further conflict until the arrival of the Russians bolstered Allied numbers. Napoleon sent his army north in pursuit of the Allies, but then ordered his forces to retreat so he could feign a grave weakness. Desperate to lure the Allies into battle, Napoleon gave every indication in the days preceding the engagement that the French army was in a pitiful state, even abandoning the dominant Pratzen Heights near Austerlitz. He deployed the French army below the Pratzen Heights and deliberately weakened his right flank, enticing the Allies to launch a major assault there in the hopes of rolling up the whole French line. A forced march from Vienna by Marshal Davout and his III Corps plugged the gap left by Napoleon just in time. Meanwhile, the heavy Allied deployment against the French right weakened their center on the Pratzen Heights, which was viciously attacked by the IV Corps of Marshal Soult. With the Allied center demolished, the French swept through both enemy flanks and sent the Allies fleeing chaotically, capturing thousands of prisoners in the process.The Allied disaster significantly shook the faith of Emperor Francis in the British-led war effort. France and Austria agreed to an armistice immediately and the Treaty of Pressburg followed shortly after, on December 26. Pressburg took Austria out of both the war and the Coalition while reinforcing the earlier treaties of Campo Formio and of Lunéville between the two powers. The treaty confirmed the Austrian loss of lands in Italy and Bavaria to France, and in Germany to Napoleon's German allies. It also imposed an indemnity of 40 million francs on the defeated Habsburgs and allowed the fleeing Russian troops free passage through hostile territories and back to their home soil. Critically, victory at Austerlitz permitted the creation of the Confederation of the Rhine, a collection of German states intended as a buffer zone between France and Central Europe. The Confederation rendered the Holy Roman Empire virtually useless, so the latter collapsed in 1806 after Francis abdicated the imperial throne, keeping Francis I of Austria as his only official title. These achievements, however, did not establish a lasting peace on the continent. Prussian worries about growing French influence in Central Europe sparked the War of the Fourth Coalition in 1806.",49.1333,16.7667
"Battle of Haslach-Jungingen",1805-10-11,"The Battle of Haslach-Jungingen, also known as the Battle of Albeck, fought on 11 October 1805 at Ulm-Jungingen north of Ulm at the Danube between French and Austrian forces, was part of the War of the Third Coalition, which was a part of the greater Napoleonic Wars. The outcome of this battle was a French victory.",48.4,9.98
"Battle of Feistritz (1813)",1813-09-06,"The Battle of Feistritz (6 September 1813) saw an Imperial French corps led by Paul Grenier attack an Austrian brigade under August von Vécsey. After putting up a stout resistance, the outnumbered Austrians were defeated and forced to retreat. The clash occurred during the War of the Sixth Coalition, part of the Napoleonic Wars. Feistritz im Rosental is located on the Drau River near the southern border of Austria, about 16 kilometres (10 mi) southwest of Klagenfurt. When hostilities commenced between the Austrian Empire and Imperial France, Johann von Hiller led an Austrian army to attack the Illyrian Provinces. The Austrians made rapid gains in the south, but in Carinthia, Hiller's first bridgehead across the Drava River at Villach was eliminated by the Franco-Italian army of Eugène de Beauharnais, the viceroy of the Kingdom of Italy. When the Austrian general established a second bridgehead at Feistritz, Eugène sent Grenier to wipe it out. The minor victory only delayed the inevitable, and within a few weeks Eugène was compelled to abandon Illyria and fall back to the borders of the Kingdom of Italy.",46.5167,14.1667
"Battle of Copenhagen 1807",1807-09-05,"The Second Battle of Copenhagen (or the Bombardment of Copenhagen) (16 August – 5 September 1807) was a British bombardment of Copenhagen in order to seize the Dano-Norwegian fleet, during the Napoleonic Wars. The attack gave rise to the term to Copenhagenize.",55.6794,12.5728
"Action of 18 November 1809",1809-11-18,"The Action of 18 November 1809 was the most significant engagement of a six-month cruise by a French frigate squadron in the Indian Ocean during the Napoleonic Wars. The French commander, Commodore Jacques Hamelin, raided across the Bay of Bengal with his squadron and achieved local superiority, capturing numerous merchant ships and minor warships. On 18 November 1809, three ships of Hamelin's squadron encountered a convoy of India-bound East Indiamen, mainly carrying recruits for the Indian Army, then administered by the Honourable East India Company (HEIC).Despite spirited resistance from the largest British merchant ship, Windham, the failure of the other Indiamen to support their leader and the size and power of the French ships forced the British to withdraw: all the HEIC ships were subsequently captured by the larger, faster French warships. A month later, Hamelin's raiding campaign skirted disaster when a winter hurricane on the voyage back to Île de France almost wrecked his flagship Vénus. Vénus only survived with the co-operation of the British prisoners aboard, who brought the ship safely to port. Only two of the captured Indiamen were successfully brought to Ile de France: the same storm that nearly destroyed Vénus scattered the squadron and its prizes, allowing a patrolling British frigate to recapture Windham just a few miles from the French island.",6.5,92.75
"Action of 31 May 1809",1809-05-31,"The Action of 31 May 1809 was a naval skirmish in the Bay of Bengal during the Napoleonic Wars. During the action, an Honourable East India Company convoy carrying goods worth over £500,000 was attacked and partially captured by the French frigate Caroline. The three East Indiamen that made up the convoy fought against their opponent with their own batteries of cannon but ultimately were less powerful, less manoeuvrable and less trained than their opponent and were defeated one by one; only the smallest of the three escaped. The action was the first in a string of attacks on important convoys in the Indian Ocean by French cruisers operating from Île de France and Île Bonaparte during a concerted campaign against British shipping in the region.",9.25,90.5
"Battle of Cardadeu",1808-12-16,"The Battle of Cardadeu on 16 December 1808 saw an Imperial French corps led by Laurent Gouvion Saint-Cyr assault a Spanish force commanded by Juan Miguel de Vives y Feliu and Theodor von Reding. Saint-Cyr won the engagement by forming most of his troops into gigantic attack columns and smashing through the Spanish lines. Cardedeu is located 17 kilometres (11 mi) northeast of Barcelona, Spain. The action occurred during the Peninsular War, part of the Napoleonic Wars.By the fall of 1808, a French corps under Guillaume Philibert Duhesme was besieged in Barcelona by a 24,000-man Spanish army led by Vives. With 23,000 Franco-Italian soldiers, Gouvion Saint-Cyr marched from France to relieve Duhesme's troops. First Saint-Cyr undertook the successful Siege of Roses. Confronted by the fortress of Girona, which had resisted two earlier attacks, the French general resorted to a risky strategy. Leaving his artillery and most of his supplies behind, he avoided Girona by marching 16,500 men though the mountains and headed for Barcelona. Saint-Cyr completely outgeneraled Vives, who was only able to marshal 9,000 troops to block his opponent. Vives drew up his outnumbered troops on high ground, but Saint-Cyr's huge columns proved unstoppable. The Spanish withdrew after suffering heavy losses and Barcelona was soon relieved.",41.6406,2.35944
"Battle of Lissa",1811-03-13,"The Battle of Lissa (sometimes called the Battle of Vis; French: Bataille de Lissa; Italian: Battaglia di Lissa; Croatian: Viška bitka) was a naval action fought between a British frigate squadron and a substantially larger squadron of French and Venetian frigates and smaller ships on 13 March 1811 during the Adriatic campaign of the Napoleonic Wars. The engagement was fought in the Adriatic Sea for possession of the strategically important island of Lissa (also known as Vis), from which the British squadron had been disrupting French shipping in the Adriatic. The French needed to control the Adriatic to supply a growing army in the Illyrian Provinces, and consequently dispatched an invasion force in March 1811 consisting of six frigates, numerous smaller craft and a battalion of Italian soldiers.The French invasion force under Bernard Dubourdieu was met by Captain William Hoste and his four ships based on the island. In the subsequent battle, Hoste sank the French flagship, captured two others, and scattered the remainder of the Franco-Venetian squadron. The battle has been hailed as an important British victory, due to both the disparity between the forces and the signal raised by Hoste, a former subordinate of Horatio Nelson. Hoste had raised the message ""Remember Nelson"" as the French bore down, and had then manoeuvred to drive Dubourdieu's flagship ashore and scatter his squadron in what has been described as ""one of the most brilliant naval achievements of the war"".",43.0892,16.1717
